Product ID,Product Name,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,Color/Size Variations,Product Ratings
93TGNAY7,Laptop,,3.0,2.0,16x15x15 cm,2023-01-01,2026-01-01,Green/Large,
TYYZ5AV7,Smartphone,214.37,92.0,2.0,15x19x19 cm,2023-03-15,2025-01-01,Red/Small,2.0
5C94FGTQ,Headphones,475.29,19.0,2.0,9x6x6 cm,2023-03-15,2026-01-01,Red/Small,
XBHKYPQB,Monitor,,40.0,1.0,7x13x5 cm,2023-01-01,2026-01-01,Green/Large,
728GCZFU,Laptop,229.81,32.0,2.0,20x20x19 cm,2023-07-30,2026-01-01,Blue/Medium,4.0
27R9M103,Smartphone,18.87,98.0,3.0,11x16x7 cm,2023-01-01,2024-01-01,Green/Large,5.0
JDOVOMY2,Headphones,81.29,32.0,3.0,14x18x14 cm,2023-01-01,2026-01-01,Green/Large,2.0
0KHFMXFN,Monitor,21.35,48.0,2.0,11x6x11 cm,2023-01-01,2026-01-01,Blue/Medium,1.0
T4F2EW7G,Monitor,,100.0,3.0,5x6x9 cm,2023-01-01,2025-01-01,Green/Large,5.0
GL199BEL,Smartphone,446.23,47.0,2.0,12x5x10 cm,2023-01-01,2026-01-01,Green/Large,4.0
SX7HALUU,Monitor,,,2.0,20x5x6 cm,2023-07-30,2024-01-01,Green/Large,
1AOXE5QW,Headphones,371.68,36.0,2.0,15x17x13 cm,2023-03-15,2024-01-01,Green/Large,1.0
KOXR70B4,Smartphone,452.1,61.0,3.0,20x11x15 cm,2023-03-15,2025-01-01,Red/Small,
X2D1GWO5,Monitor,27.31,40.0,3.0,11x9x16 cm,2023-01-01,2024-01-01,Blue/Medium,4.0
ZKI2USNA,Laptop,,91.0,1.0,15x8x7 cm,2023-01-01,2025-01-01,Red/Small,
EPKS7ECS,Smartphone,176.18,48.0,,15x17x15 cm,2023-07-30,2024-01-01,Blue/Medium,3.0
UB8UO1PA,Monitor,424.19,31.0,3.0,11x9x13 cm,2023-01-01,2026-01-01,Blue/Medium,
6ID782KK,Monitor,331.49,41.0,2.0,19x12x10 cm,2023-07-30,2026-01-01,Blue/Medium,5.0
YWJW03Z5,Headphones,470.63,95.0,3.0,19x5x20 cm,2023-03-15,2025-01-01,Red/Small,3.0
44WFTM8R,Smartphone,,28.0,,8x10x19 cm,2023-07-30,2025-01-01,Red/Small,
CVYLYMJ3,Laptop,47.46,75.0,2.0,13x16x14 cm,2023-03-15,2025-01-01,Red/Small,
9UQRU4ZU,Smartphone,103.02,51.0,3.0,13x9x5 cm,2023-07-30,2026-01-01,Green/Large,2.0
4RBD28EN,Headphones,189.22,19.0,3.0,6x6x7 cm,2023-07-30,2024-01-01,Blue/Medium,
XNTCQGCN,Laptop,,,2.0,6x12x18 cm,2023-07-30,2024-01-01,Green/Large,3.0
T27XMDD2,Smartphone,272.92,,2.0,5x20x11 cm,2023-01-01,2026-01-01,Blue/Medium,3.0
OR97MBZ1,Smartphone,464.04,100.0,3.0,11x10x7 cm,2023-07-30,2024-01-01,Green/Large,3.0
HGFIOVL2,Monitor,247.19,95.0,1.0,7x8x11 cm,2023-03-15,2024-01-01,Red/Small,3.0
758FMQ42,Laptop,330.94,84.0,2.0,19x5x16 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
8XJVYL79,Monitor,57.9,63.0,,5x20x19 cm,2023-03-15,2024-01-01,Green/Large,
YWS54ZGS,Smartphone,,70.0,3.0,16x19x19 cm,2023-07-30,2025-01-01,Green/Large,4.0
LI5AGJNV,Headphones,395.57,41.0,2.0,12x8x7 cm,2023-07-30,2025-01-01,Green/Large,2.0
YN96ICPB,Laptop,,100.0,3.0,12x13x16 cm,2023-01-01,2025-01-01,Blue/Medium,
W2KSX5TA,Smartphone,384.96,73.0,3.0,12x20x19 cm,2023-07-30,2024-01-01,Blue/Medium,
